Western,Ahanta West,Agona Health Centre,Health Centre,Agona Nkwanta,Government,4.88993,-1.96434
Western,Ahanta West,Susupapa Clinic,Clinic,Fretsi,Private,4.87797,-1.91619
Western,Ahanta West,Fasin CHPS,CHPS,Fasin,Government,4.92707,-1.94305
Western,Ahanta West,Ahanta West District Health Directorate,District Health Directorate,Agona Nkwanta,Government,4.88931,-1.95984
Western,Ahanta West,Apowa Health Centre,Health Centre,Apowa,Government,4.88824,-1.81206
Western,Ahanta West,Asamasa CHPS,Clinic,Asemasa,Private,4.85373,-1.8914
Western,Ahanta West,Holy Child Clinic,Clinic,Egyam,CHAG,4.86855,-1.85769
Western,Ahanta West,St. Vincent De Paul Clinic,Clinic,Apowa,Private,4.89218,-1.8129
Western,Ahanta West,Dixcove Hospital.,District Hospital,Dixcove,Government,4.79799,-1.94978
Western,Ahanta West,Egyambra CHPS,CHPS,Egyambra,Government,4.82067,-2.1698
Western,Ahanta West,Princesstown Health Centre,Health Centre,Princesstown,Government,4.79618,-2.13338
Western,Ahanta West,Grel Clinic,Clinic,Abura,Quasi-Government,4.90419,-2.06618
Western,Ahanta West,Abura RCH,Clinic,Abura,Government,4.91277,-2.06019
Western,Ahanta West,Ewusiejoe CHPS,CHPS,Ewusiejoe,Government,4.849041,-2.027319
Western,Ahanta West,Egyam Catholic Health Centre,Health Centre,Egyam,CHAG,4.849041,-2.027319
Western,Ahanta West,New Amanful CHPS,CHPS,New Amanful,Government,4.849041,-2.027319
Western,Ahanta West,Kejebil CHPS,CHPS,Kajebil,Government,4.849041,-2.027319
Western,Ahanta West,Akuba Ewoo Midwife/Maternity,Maternity Home,Akuba Ewoo,Private,4.849041,-2.027319
Western,Ahanta West,Akwidaa CHPS,CHPS,Akwidaa,Government,4.849041,-2.027319
Western,Ahanta West,Nana Hima-Dekyi Hospital,District Hospital,,Government,4.849041,-2.027319
Western,Ahanta West,Butre CHPS,CHPS,Butre,Government,4.849041,-2.027319
Western,Aowin Suaman,Boinso Health Centre,Health Centre,Boinso,Government,5.55545,-2.7221
Western,Aowin Suaman,Ama Dansowaa Maternity Home,Clinic,Dadieso,Private,6.11914,-3.03716
Western,Aowin Suaman,Eno Mary Maternity Home,Maternity Home,Dadieso,Private,6.11798,-3.02821
Western,Aowin Suaman,Dadieso Health Centre,Health Centre,Dadieso,Government,6.1177,-3.03295
Western,Aowin Suaman,Akontombra Nkwanta Health Centre,Health Centre,Akontombra Nkwanta,Government,5.97557,-2.94089
Western,Aowin Suaman,Achimfo Health Centre,Health Centre,Achimfo,Government,5.78423,-2.72278
Western,Aowin Suaman,Presby Health Centre,Health Centre,Enchi,CHAG,5.80861,-2.83425
Western,Aowin Suaman,Enchi Government Hospital,District Hospital,Enchi,Government,5.82974,-2.82118
Western,Aowin Suaman,Aowin Suaman District Health Directorate,District Health Directorate,Enchi,Government,5.82961,-2.82125
Western,Aowin Suaman,Amonie Community Clinic,Clinic,Amonie,Private,5.71192,-2.79694
Western,Aowin Suaman,Sewum Health Centre,Health Centre,Sewum,Government,5.67613,-2.81908
Western,Aowin Suaman,Acquai Allah Health Centre,Health Centre,Acquai Allah,Government,5.88419,-2.66443
Western,Aowin Suaman,Adjoum Community Clinic,Clinic,Adjoum,Private,5.69325,-2.65496
Western,Aowin Suaman,Papueso Presby Clinic,Clinic,Papueso,CHAG,5.74685,-2.7183
Western,Aowin Suaman,Yiwabra Health Centre,Health Centre,Yiwabra,Government,5.75901,-2.66201
Western,Bia,Dormaaman Clinic,Clinic,Adabokrom,Private,6.82057,-3.01956
Western,Bia,Adabokrom CHPS,CHPS,Adabokrom,Government,6.83139,-3.02535
Western,Bia,Camp15 Junction PHC Clinic,Clinic,Camp15 Junction,Private,6.82763,-2.90751
Western,Bia,Camp 15 CHPS,CHPS,Camp15,Government,6.795,-2.90451
Western,Bia,Peace Maternity Home,Maternity Home,Adabokrom,Private,6.82523,-3.02003
Western,Bia,Amoakrom PHC Clinic,Clinic,Amoakrom,Private,6.59751,-3.18194
Western,Bia,Eno Yeboah Clinic,Clinic,Oseikojokrom,Private,6.66136,-3.23514
Western,Bia,St.Ann's Midwife/Maternity,Maternity Home,Oseikojokrom,Private,6.66045,-3.23505
Western,Bia,Oseikojokrom CHPS,CHPS,Osei Kojokrom,Government,6.65927,-3.23588
Western,Bia,Brebre CHPS,CHPS,Brebre,Government,6.60326,-3.22566
Western,Bia,Lizzy's Maternity Home,Maternity Home,Akaatiso,Private,6.40582,-3.19942
Western,Bia,Gina's Maternity Home,Maternity Home,Akaatiso,Private,6.40912,-3.19761
Western,Bia,Aduana Clinic,Clinic,New Abesim,Private,6.46655,-3.1829
Western,Bia,Kwamebikrom Presby Clinic,Clinic,Kwamebikrom,Private,6.6311,-3.11872
